,address,id,lat,lng,location,name,subCategory,details
759,Ijsbaanpad 43,29374,52.3397703,4.8514938354492,Amsterdam,ALTC DDV,Tennis Court,http://tour-pedia.org/api/getPlaceDetails?id=29374
761,Amstelveenseweg 627,29376,52.332622995389,4.8592365704416,Amsterdam,Ronald McDonald VU Kinderstad,Playground,http://tour-pedia.org/api/getPlaceDetails?id=29376
763,De Boelelaan 1117,29380,52.334172135434,4.8610854148865,Amsterdam,VUmc Kinderstad,Playground,http://tour-pedia.org/api/getPlaceDetails?id=29380
765,Coentunnelweg,29384,52.424289476318,4.8640894889832,Amsterdam,Noorder-IJplas,Lake,http://tour-pedia.org/api/getPlaceDetails?id=29384
767,Transformatorweg 10,29386,52.393455,4.860205,Amsterdam,avv-sdz,Soccer Field,http://tour-pedia.org/api/getPlaceDetails?id=29386
768,Spaarndammerdijk 319,29387,52.390805214399,4.8605773261086,Amsterdam,Ons Genoegen,Farm,http://tour-pedia.org/api/getPlaceDetails?id=29387
769,Transformatorweg,29388,52.393542,4.859927,Amsterdam,Sdz,Soccer Field,http://tour-pedia.org/api/getPlaceDetails?id=29388
771,Contactweg 42h,29390,52.394046,4.856448,Amsterdam,Danstheater AYA,Dance Studio,http://tour-pedia.org/api/getPlaceDetails?id=29390
774,Nieuwe Hemweg 42,29394,52.394946309166,4.8649958779277,Amsterdam,ART4U kunstuitleen,Arts & Crafts Store,http://tour-pedia.org/api/getPlaceDetails?id=29394
775,Nieuwe Hemweg 4c,29395,52.394599914551,4.8660655021667,Amsterdam,Globe Centers,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29395
777,Overbrakerpad 3,29397,52.390251113437,4.8659375761928,Amsterdam,Het Woeste Westen,Playground,http://tour-pedia.org/api/getPlaceDetails?id=29397
778,Haarlemmerweg 465,29398,52.384754801594,4.8602056503296,Amsterdam,Molen De Bloem,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=29398
779,Gibraltarstraat,29399,52.383369001455,4.8544700299336,Amsterdam,Gibraltarbadje,Pool,http://tour-pedia.org/api/getPlaceDetails?id=29399
780,spaarndammerdijk 312,29400,52.391429,4.863128,Amsterdam,Sint Barbara,Cemetery,http://tour-pedia.org/api/getPlaceDetails?id=29400
781,Bos en Lommer,29401,52.380843789481,4.8540490959263,Amsterdam,'t Sterntje,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29401
782,"Admiraal de Ruijterweg 346, 1055 Bos en Lommer",29402,52.381007465859,4.8538703520599,Amsterdam,Kids Pitstop,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=29402
783,Admiraal De Ruijterweg,29403,52.380881,4.85409,Amsterdam,Studio K Amsterdam,General Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=29403
784,Admiraal de Ruijterweg 331,29404,52.380864875308,4.8537468910217,Amsterdam,331 west,Design Studio,http://tour-pedia.org/api/getPlaceDetails?id=29404
785,Den Brielstraat 24,29405,52.382366603134,4.8601878053344,Amsterdam,Staverno Jachtwerf,Harbor / Marina,http://tour-pedia.org/api/getPlaceDetails?id=29405
786,Bos en Lommerweg 218,29406,52.379630184154,4.8524765138244,Amsterdam,Café Kooper,Pub,http://tour-pedia.org/api/getPlaceDetails?id=29406
788,Haarlemmerstraat 315,29408,52.38484327386,4.8669924854107,Amsterdam,Jam studios Amsterdam,Rock Club,http://tour-pedia.org/api/getPlaceDetails?id=29408
789,Vredenhofweg,29409,52.383502,4.86374,Amsterdam,Schietsportvereniging,General Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=29409
792,De Clercqstraat,29412,52.370142883784,4.8650872707367,Amsterdam,Wiegbrug (Brug 173),Bridge,http://tour-pedia.org/api/getPlaceDetails?id=29412
795,Admiraal de Ruijterweg 38-40,29415,52.371026,4.863404,Amsterdam,Café Treffers,Pub,http://tour-pedia.org/api/getPlaceDetails?id=29415
797,Postjesweg 1,29417,52.36438178,4.859429,Amsterdam,Edelwise,Beer Garden,http://tour-pedia.org/api/getPlaceDetails?id=29417
799,Bellamystraat 47-49,29419,52.366586187792,4.8651080453809,Amsterdam,HJS Henny Jurriens Stichting,Dance Studio,http://tour-pedia.org/api/getPlaceDetails?id=29419
800,Borgerstraat 112,29420,52.364757968522,4.8645170303424,Amsterdam,Global Dance  Lab,Dance Studio,http://tour-pedia.org/api/getPlaceDetails?id=29420
801,Staringplein,29421,52.360594461609,4.8632107774897,Amsterdam,Staringplein,Plaza,http://tour-pedia.org/api/getPlaceDetails?id=29421
803,De Clercqstraat 136,29423,52.370050149,4.865473086618,Amsterdam,2 Klaveren,Pub,http://tour-pedia.org/api/getPlaceDetails?id=29423
806,Valeriusplein,29426,52.352407956305,4.8639671785229,Amsterdam,Valeriusplein,Field,http://tour-pedia.org/api/getPlaceDetails?id=29426
808,Marathonweg 1-3-5,29428,52.348562,4.860709,Amsterdam,Marathonweg - coffee - grill - bar,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29428
810,Hygiëaplein 7,29430,52.347849659978,4.8639034027221,Amsterdam,Nieuw Amsterdams Kinderkoor,Performing Arts Venue,http://tour-pedia.org/api/getPlaceDetails?id=29430
812,Olympiaplein,29432,52.346440342363,4.8667848565184,Amsterdam,Olympiaplein,Plaza,http://tour-pedia.org/api/getPlaceDetails?id=29432
813,Olympiaplein 132,29433,52.346410162849,4.86571777582,Amsterdam,De Hut,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29433
814,Gustav Mahlerlaan 2009,29434,52.335974966791,4.8642254694249,Amsterdam,SC Buitenveldert,Soccer Field,http://tour-pedia.org/api/getPlaceDetails?id=29434
817,Home,29437,52.350254,4.860231,Amsterdam,Home Sweet Home,Zoo,http://tour-pedia.org/api/getPlaceDetails?id=29437
818,Okeghemstraat 24-3,29438,52.3513786,4.862961375,Amsterdam,Droom,Other Nightlife,http://tour-pedia.org/api/getPlaceDetails?id=29438
